n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
400,3,direct,0,,direct,1,4,2,0.221,28.962,2.210,231.7,1679.8,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 400 -d 3,ZYX +PML
400,3,compact-r1,1,,compact-r1,4,1,2,0.189,33.869,1.890,271.0,1964.4,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 400 -d 3,ZYX +PML
400,3,compact-r2,2,,compact-r2,2,2,2,0.177,36.108,1.772,288.9,2094.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 400 -d 3,ZYX +PML
400,3,compact-fit-r2,3,,compact-fit,2,2,2,0.177,36.173,1.769,289.4,2098.0,0,STENCIL_RADIUS_FIT=2 STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 400 -d 3,ZYX +PML
400,3,compact-fit,3,,compact-fit,2,3,2,0.203,31.476,2.033,251.8,1825.6,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 400 -d 3,ZYX +PML
450,3,direct,0,,direct,1,4,2,0.343,26.559,3.431,212.5,1540.4,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 450 -d 3,ZYX +PML
450,3,compact-r1,1,,compact-r1,4,1,2,0.279,32.675,2.789,261.4,1895.1,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 450 -d 3,ZYX +PML
450,3,compact-r2,2,,compact-r2,2,2,2,0.278,32.781,2.780,262.2,1901.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 450 -d 3,ZYX +PML
450,3,compact-fit-r2,3,,compact-fit,2,2,2,0.275,33.191,2.746,265.5,1925.1,0,STENCIL_RADIUS_FIT=2 STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 450 -d 3,ZYX +PML
450,3,compact-fit,3,,compact-fit,2,3,2,0.305,29.920,3.046,239.4,1735.4,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 450 -d 3,ZYX +PML
500,3,direct,0,,direct,1,4,2,0.400,31.280,3.996,250.2,1814.2,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 500 -d 3,ZYX +PML
500,3,compact-r1,1,,compact-r1,4,1,2,0.334,37.448,3.338,299.6,2172.0,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 500 -d 3,ZYX +PML
500,3,compact-r2,2,,compact-r2,2,2,2,0.318,39.340,3.177,314.7,2281.7,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 500 -d 3,ZYX +PML
500,3,compact-fit-r2,3,,compact-fit,2,2,2,0.318,39.343,3.177,314.7,2281.9,0,STENCIL_RADIUS_FIT=2 STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 500 -d 3,ZYX +PML
500,3,compact-fit,3,,compact-fit,2,3,2,0.365,34.267,3.648,274.1,1987.5,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 500 -d 3,ZYX +PML
550,3,direct,0,,direct,1,4,2,0.565,29.429,5.653,235.4,1706.9,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 550 -d 3,ZYX +PML
550,3,compact-r1,1,,compact-r1,4,1,2,0.462,36.021,4.619,288.2,2089.2,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 550 -d 3,ZYX +PML
550,3,compact-r2,2,,compact-r2,2,2,2,0.458,36.292,4.584,290.3,2104.9,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 550 -d 3,ZYX +PML
550,3,compact-fit-r2,3,,compact-fit,2,2,2,0.461,36.072,4.612,288.6,2092.2,0,STENCIL_RADIUS_FIT=2 STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 550 -d 3,ZYX +PML
550,3,compact-fit,3,,compact-fit,2,3,2,0.518,32.090,5.185,256.7,1861.2,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 550 -d 3,ZYX +PML
600,3,direct,0,,direct,1,4,2,0.681,31.708,6.812,253.7,1839.1,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 600 -d 3,ZYX +PML
600,3,compact-r1,1,,compact-r1,4,1,2,0.558,38.730,5.577,309.8,2246.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 600 -d 3,ZYX +PML
600,3,compact-r2,2,,compact-r2,2,2,2,0.556,38.825,5.563,310.6,2251.9,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 600 -d 3,ZYX +PML
600,3,compact-fit-r2,3,,compact-fit,2,2,2,0.560,38.541,5.604,308.3,2235.4,0,STENCIL_RADIUS_FIT=2 STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 600 -d 3,ZYX +PML
600,3,compact-fit,3,,compact-fit,2,3,2,0.631,34.247,6.307,274.0,1986.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 600 -d 3,ZYX +PML
650,3,direct,0,,direct,1,4,2,0.944,29.077,9.445,232.6,1686.5,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 650 -d 3,ZYX +PML
650,3,compact-r1,1,,compact-r1,4,1,2,0.760,36.113,7.605,288.9,2094.6,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 650 -d 3,ZYX +PML
650,3,compact-r2,2,,compact-r2,2,2,2,0.768,35.760,7.680,286.1,2074.1,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 650 -d 3,ZYX +PML
650,3,compact-fit-r2,3,,compact-fit,2,2,2,0.772,35.588,7.717,284.7,2064.1,0,STENCIL_RADIUS_FIT=2 STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 650 -d 3,ZYX +PML
650,3,compact-fit,3,,compact-fit,2,3,2,0.867,31.687,8.667,253.5,1837.8,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 650 -d 3,ZYX +PML
700,3,direct,0,,direct,1,4,2,1.102,31.121,11.022,249.0,1805.0,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 700 -d 3,ZYX +PML
700,3,compact-r1,1,,compact-r1,4,1,2,0.902,38.035,9.018,304.3,2206.0,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 700 -d 3,ZYX +PML
700,3,compact-r2,2,,compact-r2,2,2,2,0.901,38.060,9.012,304.5,2207.5,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 700 -d 3,ZYX +PML
700,3,compact-fit-r2,3,,compact-fit,2,2,2,0.901,38.073,9.009,304.6,2208.2,0,STENCIL_RADIUS_FIT=2 STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 700 -d 3,ZYX +PML
700,3,compact-fit,3,,compact-fit,2,3,2,1.019,33.646,10.194,269.2,1951.5,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 700 -d 3,ZYX +PML
750,3,direct,0,,direct,1,4,2,1.440,29.290,14.404,234.3,1698.8,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 750 -d 3,ZYX +PML
750,3,compact-r1,1,,compact-r1,4,1,2,1.148,36.742,11.482,293.9,2131.0,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 750 -d 3,ZYX +PML
750,3,compact-r2,2,,compact-r2,2,2,2,1.177,35.858,11.765,286.9,2079.8,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 750 -d 3,ZYX +PML
750,3,compact-fit-r2,3,,compact-fit,2,2,2,1.177,35.857,11.765,286.9,2079.7,0,STENCIL_RADIUS_FIT=2 STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 750 -d 3,ZYX +PML
750,3,compact-fit,3,,compact-fit,2,3,2,1.332,31.663,13.324,253.3,1836.5,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 750 -d 3,ZYX +PML
800,3,direct,0,,direct,1,4,2,1.589,32.213,15.894,257.7,1868.4,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 800 -d 3,ZYX +PML
800,3,compact-r1,1,,compact-r1,4,1,2,1.291,39.671,12.906,317.4,2300.9,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 800 -d 3,ZYX +PML
800,3,compact-r2,2,,compact-r2,2,2,2,1.316,38.920,13.155,311.4,2257.4,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 800 -d 3,ZYX +PML
800,3,compact-fit-r2,3,,compact-fit,2,2,2,1.317,38.889,13.166,311.1,2255.6,0,STENCIL_RADIUS_FIT=2 STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 800 -d 3,ZYX +PML
800,3,compact-fit,3,,compact-fit,2,3,2,1.477,34.659,14.772,277.3,2010.2,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 800 -d 3,ZYX +PML
850,3,direct,0,,direct,1,4,2,2.079,29.538,20.791,236.3,1713.2,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 850 -d 3,ZYX +PML
850,3,compact-r1,1,,compact-r1,4,1,2,1.680,36.557,16.799,292.5,2120.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 850 -d 3,ZYX +PML
850,3,compact-r2,2,,compact-r2,2,2,2,1.718,35.751,17.178,286.0,2073.6,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 850 -d 3,ZYX +PML
850,3,compact-fit-r2,3,,compact-fit,2,2,2,1.719,35.720,17.193,285.8,2071.8,0,STENCIL_RADIUS_FIT=2 STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 850 -d 3,ZYX +PML
850,3,compact-fit,3,,compact-fit,2,3,2,1.920,31.994,19.195,256.0,1855.7,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 850 -d 3,ZYX +PML
