n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
550,3,compact-r2,2,,compact-r2,2,2,2,0.488,34.100,4.879,272.8,1977.8,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 550 -d 3,ZYX +PML
550,3,compact-fit,3,,compact-fit,2,3,2,0.742,22.421,7.421,179.4,1300.4,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 550 -d 3,ZYX +PML
600,3,direct,0,,direct,1,4,2,0.986,21.896,9.865,175.2,1270.0,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 600 -d 3,ZYX +PML
600,3,compact-r1,1,,compact-r1,4,1,2,0.558,38.714,5.579,309.7,2245.4,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 600 -d 3,ZYX +PML
600,3,compact-r2,2,,compact-r2,2,2,2,0.593,36.419,5.931,291.4,2112.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 600 -d 3,ZYX +PML
600,3,compact-fit,3,,compact-fit,2,3,2,0.928,23.286,9.276,186.3,1350.6,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 600 -d 3,ZYX +PML
650,3,direct,0,,direct,1,4,2,1.315,20.884,13.150,167.1,1211.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 650 -d 3,ZYX +PML
650,3,compact-r1,1,,compact-r1,4,1,2,0.730,37.609,7.302,300.9,2181.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 650 -d 3,ZYX +PML
650,3,compact-r2,2,,compact-r2,2,2,2,0.802,34.242,8.020,273.9,1986.0,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 650 -d 3,ZYX +PML
650,3,compact-fit,3,,compact-fit,2,3,2,1.213,22.638,12.131,181.1,1313.0,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 650 -d 3,ZYX +PML
700,3,direct,0,,direct,1,4,2,1.553,22.085,15.531,176.7,1280.9,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 700 -d 3,ZYX +PML
700,3,compact-r1,1,,compact-r1,4,1,2,0.885,38.752,8.851,310.0,2247.6,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 700 -d 3,ZYX +PML
700,3,compact-r2,2,,compact-r2,2,2,2,0.935,36.670,9.354,293.4,2126.9,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 700 -d 3,ZYX +PML
700,3,compact-fit,3,,compact-fit,2,3,2,1.433,23.930,14.333,191.4,1387.9,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 700 -d 3,ZYX +PML
750,3,direct,0,,direct,1,4,2,1.985,21.249,19.854,170.0,1232.4,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 750 -d 3,ZYX +PML
750,3,compact-r1,1,,compact-r1,4,1,2,1.121,37.640,11.208,301.1,2183.1,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 750 -d 3,ZYX +PML
750,3,compact-r2,2,,compact-r2,2,2,2,1.216,34.697,12.159,277.6,2012.4,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 750 -d 3,ZYX +PML
750,3,compact-fit,3,,compact-fit,2,3,2,1.849,22.817,18.490,182.5,1323.4,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 750 -d 3,ZYX +PML
800,3,direct,0,,direct,1,4,2,2.268,22.574,22.681,180.6,1309.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 800 -d 3,ZYX +PML
800,3,compact-r1,1,,compact-r1,4,1,2,1.240,41.299,12.397,330.4,2395.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 800 -d 3,ZYX +PML
800,3,compact-r2,2,,compact-r2,2,2,2,1.341,38.172,13.413,305.4,2214.0,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 800 -d 3,ZYX +PML
800,3,compact-fit,3,,compact-fit,2,3,2,2.103,24.351,21.026,194.8,1412.4,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 800 -d 3,ZYX +PML
850,3,direct,0,,direct,1,4,2,2.930,20.958,29.302,167.7,1215.6,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 850 -d 3,ZYX +PML
850,3,compact-r1,1,,compact-r1,4,1,2,1.634,37.590,16.337,300.7,2180.2,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 850 -d 3,ZYX +PML
850,3,compact-r2,2,,compact-r2,2,2,2,1.770,34.695,17.701,277.6,2012.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 850 -d 3,ZYX +PML
850,3,compact-fit,3,,compact-fit,2,3,2,2.700,22.749,26.996,182.0,1319.4,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 850 -d 3,ZYX +PML
