n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
750,3,direct,0,,direct,1,4,1,3.180,13.267,31.798,106.1,769.5,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 750 -d 3,XYZ
750,3,compact-r1,1,,compact-r1,4,1,1,3.041,13.871,30.415,111.0,804.5,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 750 -d 3,XYZ
750,3,compact-r2,2,,compact-r2,2,2,1,3.099,13.615,30.987,108.9,789.7,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 750 -d 3,XYZ
750,3,compact-r1-trim3,1,3,compact-r1,4,1,1,2.726,15.474,27.264,123.8,897.5,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 750 -d 3,XYZ
800,3,direct,0,,direct,1,4,1,3.575,14.321,35.751,114.6,830.6,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 800 -d 3,XYZ
800,3,compact-r1,1,,compact-r1,4,1,1,3.429,14.930,34.292,119.4,865.9,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 800 -d 3,XYZ
800,3,compact-r2,2,,compact-r2,2,2,1,3.506,14.605,35.056,116.8,847.1,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 800 -d 3,XYZ
800,3,compact-r1-trim3,1,3,compact-r1,4,1,1,3.094,16.549,30.938,132.4,959.8,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 800 -d 3,XYZ
850,3,direct,0,,direct,1,4,1,4.665,13.165,46.650,105.3,763.6,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 850 -d 3,XYZ
850,3,compact-r1,1,,compact-r1,4,1,1,4.482,13.703,44.815,109.6,794.8,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 850 -d 3,XYZ
850,3,compact-r2,2,,compact-r2,2,2,1,4.558,13.475,45.575,107.8,781.5,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 850 -d 3,XYZ
850,3,compact-r1-trim3,1,3,compact-r1,4,1,1,4.031,15.233,40.315,121.9,883.5,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 850 -d 3,XYZ
