n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
650,3,compact-r2,2,,compact-r2,2,2,1,3.005,9.140,30.045,73.1,530.1,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 650 -d 3,XYZ
650,3,compact-r1-trim3,1,3,compact-r1,4,1,1,1.564,17.560,15.639,140.5,1018.5,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 650 -d 3,XYZ
700,3,direct,0,,direct,1,4,1,2.202,15.574,22.024,124.6,903.3,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 700 -d 3,XYZ
700,3,compact-r1,1,,compact-r1,4,1,1,3.484,9.846,34.837,78.8,571.1,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 700 -d 3,XYZ
700,3,compact-r2,2,,compact-r2,2,2,1,2.238,15.327,22.379,122.6,889.0,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 700 -d 3,XYZ
700,3,compact-r1-trim3,1,3,compact-r1,4,1,1,1.850,18.540,18.501,148.3,1075.3,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 700 -d 3,XYZ
750,3,direct,0,,direct,1,4,1,2.838,14.865,28.380,118.9,862.2,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 750 -d 3,XYZ
750,3,compact-r1,1,,compact-r1,4,1,1,2.692,15.674,26.916,125.4,909.1,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 750 -d 3,XYZ
750,3,compact-r2,2,,compact-r2,2,2,1,2.773,15.213,27.732,121.7,882.4,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 750 -d 3,XYZ
750,3,compact-r1-trim3,1,3,compact-r1,4,1,1,2.404,17.551,24.037,140.4,1018.0,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 750 -d 3,XYZ
800,3,direct,0,,direct,1,4,1,3.131,16.353,31.308,130.8,948.5,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 800 -d 3,XYZ
800,3,compact-r1,1,,compact-r1,4,1,1,3.019,16.959,30.190,135.7,983.6,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 800 -d 3,XYZ
800,3,compact-r2,2,,compact-r2,2,2,1,3.116,16.431,31.161,131.4,953.0,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 800 -d 3,XYZ
800,3,compact-r1-trim3,1,3,compact-r1,4,1,1,2.696,18.990,26.961,151.9,1101.4,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 800 -d 3,XYZ
850,3,direct,0,,direct,1,4,1,4.132,14.862,41.322,118.9,862.0,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 850 -d 3,XYZ
850,3,compact-r1,1,,compact-r1,4,1,1,3.931,15.621,39.314,125.0,906.0,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 850 -d 3,XYZ
850,3,compact-r2,2,,compact-r2,2,2,1,4.023,15.265,40.231,122.1,885.4,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 850 -d 3,XYZ
850,3,compact-r1-trim3,1,3,compact-r1,4,1,1,3.492,17.585,34.924,140.7,1019.9,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 850 -d 3,XYZ
