n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
600,3,compact-r1,1,,compact-r1,4,1,2,1.103,19.592,11.025,156.7,1136.3,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 600 -d 3,XYZ
600,3,compact-r2,2,,compact-r2,2,2,2,1.127,19.172,11.266,153.4,1112.0,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 600 -d 3,XYZ
600,3,compact-r1-trim3,1,3,compact-r1,4,1,2,1.044,20.692,10.439,165.5,1200.1,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 600 -d 3,XYZ
650,3,direct,0,,direct,1,4,2,1.597,17.199,15.967,137.6,997.5,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 650 -d 3,XYZ
650,3,compact-r1,1,,compact-r1,4,1,2,1.504,18.260,15.040,146.1,1059.1,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 650 -d 3,XYZ
650,3,compact-r2,2,,compact-r2,2,2,2,1.559,17.620,15.586,141.0,1022.0,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 650 -d 3,XYZ
650,3,compact-r1-trim3,1,3,compact-r1,4,1,2,1.421,19.327,14.209,154.6,1121.0,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 650 -d 3,XYZ
700,3,direct,0,,direct,1,4,2,1.873,18.312,18.731,146.5,1062.1,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 700 -d 3,XYZ
700,3,compact-r1,1,,compact-r1,4,1,2,1.777,19.298,17.774,154.4,1119.3,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 700 -d 3,XYZ
700,3,compact-r2,2,,compact-r2,2,2,2,1.822,18.827,18.219,150.6,1092.0,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 700 -d 3,XYZ
700,3,compact-r1-trim3,1,3,compact-r1,4,1,2,1.681,20.403,16.812,163.2,1183.4,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 700 -d 3,XYZ
750,3,direct,0,,direct,1,4,2,2.438,17.304,24.381,138.4,1003.6,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 750 -d 3,XYZ
750,3,compact-r1,1,,compact-r1,4,1,2,2.305,18.302,23.051,146.4,1061.5,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 750 -d 3,XYZ
750,3,compact-r2,2,,compact-r2,2,2,2,2.394,17.624,23.938,141.0,1022.2,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 750 -d 3,XYZ
750,3,compact-r1-trim3,1,3,compact-r1,4,1,2,2.183,19.324,21.832,154.6,1120.8,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 750 -d 3,XYZ
800,3,direct,0,,direct,1,4,2,2.557,20.024,25.569,160.2,1161.4,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 800 -d 3,XYZ
800,3,compact-r1,1,,compact-r1,4,1,2,2.468,20.743,24.683,165.9,1203.1,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 800 -d 3,XYZ
800,3,compact-r2,2,,compact-r2,2,2,2,2.520,20.314,25.204,162.5,1178.2,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 800 -d 3,XYZ
800,3,compact-r1-trim3,1,3,compact-r1,4,1,2,2.338,21.897,23.382,175.2,1270.0,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 800 -d 3,XYZ
850,3,direct,0,,direct,1,4,2,3.560,17.252,35.598,138.0,1000.6,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 850 -d 3,XYZ
850,3,compact-r1,1,,compact-r1,4,1,2,3.349,18.340,33.485,146.7,1063.7,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 850 -d 3,XYZ
850,3,compact-r2,2,,compact-r2,2,2,2,3.491,17.592,34.909,140.7,1020.3,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 850 -d 3,XYZ
850,3,compact-r1-trim3,1,3,compact-r1,4,1,2,3.186,19.276,31.859,154.2,1118.0,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 850 -d 3,XYZ
