DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;32;7;30000;2029.9;15;4;1;4;32;1;0;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;32;9;30000;2275.9;15;4;1;2;32;-1;-1;0;0;0;1;0;2;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;32;13;30000;2473.0;15;4;1;1;32;0;0;0;1;0;1;0;0;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;32;17;30000;2702.2;15;4;1;1;32;-2;-1;0;0;0;1;0;2;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;32;25;30000;2740.4;15;4;1;1;32;1;-2;0;0;0;1;0;0;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;32;26;30000;2772.1;15;4;1;1;32;-1;0;0;1;0;1;0;0;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;32;28;30000;2754.3;15;4;1;4;32;0;0;0;1;0;1;0;0;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;32;32;30000;2690.1;8;4;1;1;32;-1;0;0;0;0;1;0;0;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;32;45;30000;2660.9;15;4;1;1;32;-1;0;0;0;0;1;0;0;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;45;4;30000;1558.6;15;4;1;2;45;-2;-1;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;45;5;30000;1667.3;15;4;1;2;45;0;-1;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;45;7;30000;1722.0;15;4;1;3;45;0;-1;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;45;9;30000;1915.2;15;4;1;4;45;-1;0;0;0;0;1;0;2;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;45;13;30000;1821.5;7;4;1;1;45;0;-1;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;45;25;30000;2154.0;7;4;1;1;45;1;0;0;0;0;1;0;0;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;45;26;30000;2153.4;7;4;1;1;45;1;0;0;0;0;1;0;0;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;45;28;30000;2167.0;7;4;1;1;45;-2;0;0;0;0;1;0;2;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;45;32;30000;2191.6;6;4;1;1;45;1;0;0;0;0;1;0;0;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;4;45;45;30000;2019.5;5;4;1;1;45;1;0;0;0;0;1;0;2;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;4;4;30000;365.1;11;5;1;1;1;1;0;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;4;5;30000;427.0;11;5;1;1;1;0;-1;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;4;7;30000;527.5;8;5;1;1;1;1;0;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;4;9;30000;556.6;10;5;1;1;1;0;-2;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;4;13;30000;673.8;8;5;1;1;1;1;0;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;4;17;30000;781.6;8;5;1;1;1;-1;0;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;4;25;30000;938.5;8;5;1;1;1;1;0;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;4;26;30000;928.5;8;5;1;1;5;1;0;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;4;28;30000;457.3;8;5;1;4;5;-1;0;0;0;0;1;0;0;1;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;4;32;30000;779.8;15;5;1;1;5;-2;0;0;0;0;1;0;0;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;4;45;30000;992.0;8;5;1;1;5;-1;0;0;1;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;5;4;30000;445.6;12;5;1;1;1;1;0;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;5;5;30000;527.2;11;5;1;1;5;1;0;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;5;7;30000;617.8;10;5;1;1;1;0;-1;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;5;9;30000;705.7;15;5;1;1;5;-2;0;0;1;0;1;0;0;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;5;13;30000;912.8;10;5;1;1;1;1;0;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;5;16;30000;936.0;8;5;1;1;5;0;0;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;5;17;30000;933.2;8;5;1;1;1;0;-2;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;5;20;30000;1025.6;8;5;1;1;5;-1;0;0;1;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;5;24;30000;1251.4;8;5;1;1;1;-2;0;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;5;26;30000;1261.2;8;5;1;1;1;-2;0;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;5;28;30000;1135.0;8;5;1;1;5;0;-2;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;5;32;30000;1106.9;8;5;1;1;5;-1;-1;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;6;20;30000;1237.5;8;5;1;1;6;1;0;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;6;32;30000;1321.7;8;5;1;1;6;-1;0;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;7;4;30000;601.4;11;5;1;1;1;1;-1;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;7;5;30000;712.4;10;5;1;1;7;-2;-2;0;0;0;1;0;0;0;0;0
