DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA A100 80GB PCIe [0x1f79];3;5;7;7;30000;631.9;9;5;1;4;1;1;-2;0;1;0;1;0;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;7;9;30000;659.1;14;5;1;5;1;0;-2;0;0;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;7;13;30000;758.1;12;5;1;5;0;-1;-2;1;0;0;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;9;4;30000;663.4;18;5;1;4;1;0;-2;0;0;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;9;5;30000;738.1;20;5;1;2;1;1;-2;0;1;0;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;9;7;30000;812.0;15;5;1;2;0;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;9;9;30000;822.8;9;5;1;1;1;1;-1;0;1;0;1;0;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;13;4;30000;821.1;12;5;1;4;0;0;0;0;0;0;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;13;5;30000;965.9;14;5;1;3;0;-1;0;1;0;1;1;1;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;13;7;30000;1038.2;24;5;1;2;0;1;0;1;0;0;1;1;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;13;13;30000;1406.3;10;5;1;2;0;-1;0;0;0;0;1;1;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;13;17;30000;1476.9;10;5;1;4;0;-2;-1;1;0;0;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;13;32;30000;1551.9;15;5;1;4;0;-2;-1;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;17;4;30000;996.5;22;5;1;5;0;-1;0;0;0;0;1;1;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;17;5;30000;1126.4;12;5;1;4;0;-2;0;1;0;0;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;17;13;30000;1673.6;10;5;1;3;0;0;-1;1;0;1;1;1;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;17;17;30000;1794.3;10;5;1;5;0;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;17;32;30000;1927.5;15;5;1;4;0;1;0;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;25;4;30000;1179.5;29;5;1;1;0;1;-2;0;0;0;1;1;0;0;1;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;32;4;30000;1643.5;24;5;1;5;0;-2;-1;1;0;1;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;32;5;30000;1767.6;20;5;1;5;0;-1;-1;0;0;1;1;1;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;32;13;30000;2429.1;13;5;1;5;0;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;32;17;30000;2647.0;10;5;1;2;0;1;0;0;0;0;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;32;32;30000;2922.1;15;5;1;2;0;-1;0;1;0;0;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;6;6;6;30000;692.4;10;6;1;2;1;1;0;0;1;0;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;6;6;7;30000;600.1;19;6;1;6;0;-2;-1;1;1;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;6;6;8;30000;687.8;10;6;1;2;0;1;1;0;0;1;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;6;7;6;30000;637.5;15;6;1;3;1;1;0;0;0;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;6;7;7;30000;690.9;11;6;1;2;0;1;-1;1;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;6;7;8;30000;683.4;10;6;1;4;1;-2;-1;0;1;0;1;0;0;2;0;0
