DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA H100 80GB HBM3 [0x658e];3;5;7;13;30000;0;10;5;1;4;1;-2;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;9;4;30000;0;13;5;1;2;1;-1;4;0;0;0;1;0;0;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;9;5;30000;0;9;5;1;4;1;-1;0;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;9;7;30000;0;13;5;1;1;1;1;-2;0;0;0;1;0;0;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;9;9;30000;0;10;5;1;2;1;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;13;4;30000;0;11;5;1;2;1;-1;-1;0;0;0;1;0;0;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;13;5;30000;0;14;5;1;1;1;1;-1;0;0;0;1;0;0;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;13;7;30000;0;13;5;1;2;1;0;1;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;13;13;30000;0;10;5;1;3;1;0;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;13;17;30000;0;10;5;1;4;1;-2;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;13;32;30000;0;12;5;1;3;1;-1;-2;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;17;4;30000;0;13;5;1;5;1;-1;-2;0;0;0;1;0;2;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;17;5;30000;0;13;5;1;4;1;1;-2;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;17;13;30000;0;11;5;1;4;1;-1;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;17;17;30000;0;11;5;1;2;1;1;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;17;32;30000;0;10;5;1;4;1;1;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;25;4;30000;0;14;5;1;5;1;1;-1;0;0;0;1;0;2;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;32;4;30000;0;16;5;1;4;1;0;0;0;0;0;1;0;2;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;32;5;30000;0;17;5;1;1;1;0;-1;0;0;0;1;0;2;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;32;13;30000;0;10;5;1;3;1;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;32;17;30000;0;10;5;1;2;1;-1;1;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;32;32;30000;0;15;5;1;5;1;0;-2;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;6;6;6;30000;0;9;6;1;5;1;1;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;6;6;7;30000;0;11;6;1;2;1;-1;-2;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;6;6;8;30000;0;12;6;1;5;1;1;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;6;7;6;30000;0;10;6;1;6;1;-1;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;6;7;7;30000;0;8;6;1;3;1;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;6;7;8;30000;0;10;6;1;6;1;-1;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;6;8;6;30000;0;10;6;1;3;1;0;1;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;6;8;7;30000;0;8;6;1;5;1;-1;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;6;8;8;30000;0;10;6;1;2;1;-1;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;4;4;30000;0;11;7;1;2;1;-1;0;0;0;0;1;0;2;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;4;5;30000;0;11;7;1;2;1;1;3;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;4;7;30000;0;13;7;1;7;1;-2;0;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;4;9;30000;0;11;7;1;3;1;-2;0;0;0;0;1;0;0;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;4;13;30000;0;12;7;1;7;7;-1;-1;0;0;0;1;0;2;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;5;4;30000;0;10;7;1;1;1;-1;-2;0;0;0;1;0;0;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;5;5;30000;0;11;7;1;2;1;1;-1;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;5;7;30000;0;11;7;1;4;7;0;0;0;0;0;1;0;0;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;5;9;30000;0;13;7;1;1;1;1;-2;0;0;0;1;0;0;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;5;13;30000;0;12;7;1;6;1;-1;-1;0;0;0;1;0;0;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;6;6;30000;0;13;7;1;2;1;-1;1;0;0;0;1;0;0;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;6;7;30000;0;11;7;1;4;1;-2;0;0;0;0;1;0;0;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;6;8;30000;0;11;7;1;1;1;-2;-1;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;7;4;30000;0;15;7;1;2;1;-1;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;7;5;30000;0;13;7;1;6;1;-2;-2;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;7;6;30000;0;13;7;1;2;1;-1;1;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;7;7;30000;0;15;7;1;3;1;-2;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;7;8;30000;0;12;7;1;6;1;-1;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;7;9;30000;0;15;7;1;3;1;-1;2;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;7;13;30000;0;12;7;1;7;1;-1;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;8;6;30000;0;10;7;1;7;1;0;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;8;7;30000;0;10;7;1;3;1;1;2;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;8;8;30000;0;12;7;1;3;1;-2;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;9;4;30000;0;11;7;1;4;1;-1;-2;0;0;0;1;0;0;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;9;5;30000;0;10;7;1;7;1;-1;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;9;7;30000;0;12;7;1;3;1;-2;0;0;0;0;1;0;1;0;0;0
