DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA GH200 480GB [0x3528];3;7;13;5;30000;1859.6;13;7;1;5;1;-1;-2;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;7;13;7;30000;2283.7;12;7;1;4;1;1;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;7;13;13;30000;2946.1;10;7;1;6;1;-2;-1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;8;6;6;30000;1012.4;11;8;1;7;1;1;0;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;8;6;7;30000;1047.8;12;8;1;6;1;-1;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;8;6;8;30000;1089.1;11;8;1;1;1;-1;-2;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;8;7;6;30000;1164.6;12;8;1;7;1;-1;-1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;8;7;7;30000;1218.6;12;8;1;7;1;-1;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;8;7;8;30000;1242.2;11;8;1;1;1;-1;0;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;8;8;6;30000;1571.8;10;8;1;2;1;0;-2;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;8;8;7;30000;1736.6;12;8;1;2;1;0;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;8;8;8;30000;1815.7;12;8;1;2;1;-2;1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;9;4;4;30000;636.0;13;9;1;2;1;0;-1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;9;4;5;30000;683.3;13;9;1;7;1;0;0;0;0;0;1;0;2;0;0;0
